ubnd	ủy ban nhân dân
tand	tòa án nhân dân
ca	công an
ntd	nhà thi đấu
vđv	vận động viên
cđv	cổ động viên
thpt	trung học phổ thông
thcs	trung học cơ sở
gd&đt	giáo dục và đào tạo
gdđt	giáo dục đào tạo
gd-đt	giáo dục đào tạo
pgs	phó giáo sư
hcm	hồ chí minh
tdtt	thể dục thể thao
clb	câu lạc bộ
csgt	cảnh sát giao thông
cscđ	cảnh sát cơ động
nhnn	ngân hàng nhà nước
tphcm	thành phố hồ chí minh
vpcp	văn phòng chính phủ
vpqh	văn phòng quốc hội
bca	bộ công an
sn	sinh năm
vhtt	văn hóa thể thao
vhttdl	văn hóa thể thao du lịch
vhtt-dl	văn hóa thể thao du lịch
vh-tt-dl	văn hóa thể thao du lịch
hlv	huấn luyện viên
hcv	huy chương vàng
hcb	huy chương bạc
hcđ	huy chương đồng
lđ-tb&xh	lao động thương binh và xã hội
cntt	công nghệ thông tin
bhyt	bảo hiểm y tế
bhxh	bảo hiểm xã hội
dn	doanh nghiệp
nlđ	người lao động
bhtn	bảo hiểm thất nghiệp
lđtbxh	lao động thương binh xã hội
lđlđ	liên đoàn lao động
vn	việt nam
hn	hà nội
btc	ban tổ chức
xklđ	xuất khẩu lao động
hđqt	hội đồng quản trị
tand	tòa án nhân dân
ndt	nhân dân tệ
lđbđ	liên đoàn bóng đá
nn&ptnt	nông nghiệp và phát triển nông thôn
nn-ptnt	nông nghiệp phát triển nông thôn
hagl	hoàng anh gia lai
đhbk	đại học bách khoa
đhbkhn	đại học bách khoa hà nội
đh	đại học
khcn	khoa học công nghệ
mxh	mạng xã hội
tnmt	tài nguyên môi trường
tn&mt	tài nguyên và môi trường
tn-mt	tài nguyên môi trường
fb	facebook
vck	vòng chung kết
gtvt	giao thông vận tải
tt&tt	thông tin và truyền thông
tttt	thông tin truyền thông
tt-tt	thông tin truyền thông
qlnn	quản lý nhà nước
kh&đt	kế hoạch và đầu tư
khđt	kế hoạch đầu tư
kh-đt	kế hoạch đầu tư
ubdt	ủy ban dân tộc
ttcp	thanh tra chính phủ
cty	công ty
kcnc	khu công nghệ cao
tnhh	trách nhiệm hữu hạn
lmht	liên minh huyền thoại
tmdv	thương mại dịch vụ
hđqt	hội đồng quản trị
sx-kd	sản xuất kinh doanh
sxkd	sản xuất kinh doanh
tgdđ	thế giới di động
đhxd	đại học xây dựng
ktqd	kinh tế quốc dân
gdcd	giáo dục công dân
lhq	liên hợp quốc
anmt	an ninh môi trường
anqg	an ninh quốc gia
anptt	an ninh phi truyền thông
annd	an ninh nhân dân
cand	công an nhân dân
anm	an ninh mạng
xhcn	xã hội chủ nghĩa
chxhcn	cộng hòa xã hội chủ nghĩa
bđkh	biến đổi khí hậu
ônmt	ô nhiễm môi trường
đbscl	đồng bằng sông cửu long
ttxvn	thông tấn xã việt nam
gtgt	gía trị gia tăng
pct	phó chủ tịch
đsq	đại sứ quán
tq	trung quốc
bđbp	bộ đội biên phòng
pkkq	phòng không không quân
pk-kq	phòng không không quân
ktqs	kỹ thuật quân sự
hvktqs	học viện kỹ thuật quân sự
khqs	khoa học quân sự
cskh	chăm sóc khách hàng
ctkm	chương trình khuyến mại
tvts	tư vấn tuyển sinh
httt	hệ thống thông tin
khmt	khoa học máy tính
vna	vietnam airlines
đbqh	đại biểu quốc hội
btv	biên tập viên
ptv	phát thanh viên
blv	bình luận viên
kts	kiến trúc sư
ktv	kỹ thuật viên
qtv	quản trị viên
ttcn	thị trường chuyển nhượng
blđ	ban lãnh đạo
cmcn	cách mạng công nghiệp
khtn	khoa học tự nhiên
kdcn	kinh doanh công nghệ
bcvt	bưu chính viễn thông
ttvh	thể thao văn hóa
hkqt	hàng không quốc tế
lđbđ	liên đoàn bóng đá
đtqg	đội tuyển quốc gia
đkvđ	đương kim vô địch
ưcv	ứng cử viên
vck	vòng chung kết
hdsd	hướng dẫn sử dụng
ptnk	phổ thông năng khiếu
đbs	đảng cộng sản
bđs	bất động sản
ntk	nhà thiết kế
csgt	cảnh sát giao thông
csđt	cảnh sát điều tra
anđt	an ninh điều tra
cscđ	cảnh sát cơ động
cmnd	chứng minh nhân dân
cmtnd	chứng minh thư nhân dân
tand	tòa án nhân dân
vks	viện kiểm sát
atlđ	an toàn lao động
nlđ	người lao động
antđ	an ninh thủ đô
bđbp	bộ đội biên phòng
htx	hợp tác xã
kcn	khu công nghiệp
nhm	người hâm mộ
đhtb	đội hình tiêu biểu
attt	an toàn thông tin
svattt	sinh viên an toàn thông tin
mtb máy	tính bảng
attp	an toàn thực phẩm
vsattp	vệ sinh an toàn thực phẩm
ctcp	công ty cổ phần
lntt	lợi nhuận trước thuế
lnst	lợi nhuận sau thuế
đna	đông nam á
ntđ	nhà thi đấu
atgt	an toàn giao thông
đhqg	đại học quốc gia
tbn	tây ban nha
bđn	bồ đào nha
thvl	truyền hình vĩnh long
nsnd	nghệ sĩ nhân dân
nsưt	nghệ sĩ ưu tú
hhhv	hoa hậu hoàn vũ
gđđh	giám đốc điều hành
bxh	bảng xếp hạng
bks	biển kiểm soát
tgđ	tổng giám đốc
pgsts	phó giáo sư tiến sĩ
pgs-ts	phó giáo sư tiến sĩ
gsts	giáo sư tiến sĩ
gs-ts	giáo sư tiến sĩ
ngnd	nhà giáo nhân dân
gplx	giấy phép lái xe
hđnd	hội đồng nhân dân
kt-xh	kinh tế xã hội
ktxh	kinh tế xã hội
bch	ban chấp hành
mttq	mặt trận tổ quốc
gtđt	giao tiếp điện tử
gpkd	giấy phép kinh doanh
gdck	giao dịch chứng khoán
tpcp	trái phiếu chính phủ
kbnn	kho bạc nhà nước
đkkd	đăng ký kinh doanh
